"Type","Month","n_NLS","A_sat","k_m"
"Nit-A","Sep",3,"12.28±1.28","225.07±87.92"
"Nit-A","Nov",3,"8.77±0.33","159.91±77.44"
"Nit-A","Dec",3,"10.39±0.65","245.66±178.25"
"Nit-A","Jan",3,"2.7±1.38","129.13±22"
"Nit-S","Sep",3,"13.36±4.29","275.58±85.3"
"Nit-S","Nov",3,"16.97±0.51","252.4±26.86"
"Nit-S","Dec",3,"5.04±2.39","333.88±125.75"
"Nit-S","Jan",3,"5.96±1.95","157.5±119.3"
"Rep-S","Sep",3,"13.55±1.39","313.82±145.6"
"Rep-S","Nov",3,"9.04±3.49","170.69±78.33"
"Rep-S","Dec",0,"-1.69±0.65",""
"Rep-S","Jan",3,"2.44±0.72","95.95±20.1"
